@relation opinion
@attribute category {positive,negative,neutral,objective}
@attribute exclamation_marks numeric
@attribute question_marks numeric
@attribute dot_marks numeric
@attribute word_count numeric
@attribute letter_count numeric
@attribute bad_word_count numeric
@attribute good_word_count numeric
@attribute happy_emoji numeric
@attribute angry_emoji numeric
@attribute dcs_list_score numeric
@attribute positive_list numeric
@attribute negative_list numeric
@attribute posemo_list numeric
@attribute negemo_list numeric
@data
positive,1,0,1,21,133,0,0,0,0,-2.27,2,0,1,1
negative,0,0,0,3,34,0,0,3,0,0.00,0,0,0,0
neutral,0,0,2,22,127,0,0,0,0,-1.30,0,1,0,0
positive,0,0,2,15,87,0,0,0,0,-1.27,2,1,1,1
positive,0,0,1,16,98,0,0,0,0,0.50,1,0,1,1
objective,0,0,2,23,131,0,0,0,0,-1.40,2,1,1,1
positive,0,0,2,25,148,0,0,0,0,0.92,1,1,0,0
positive,1,0,4,23,136,0,0,0,0,0.04,2,1,1,1
neutral,0,1,1,22,124,0,0,0,0,-0.64,0,1,0,0
positive,0,0,4,24,136,0,0,0,0,-1.75,0,1,1,1
neutral,1,0,2,26,138,0,0,0,0,-2.15,5,3,0,0
positive,3,0,0,28,131,0,0,1,0,-0.48,3,6,1,1
negative,0,0,0,13,84,0,0,0,0,-0.73,0,2,0,0
objective,0,0,4,25,140,0,0,0,0,-1.81,1,1,0,0
positive,2,1,0,24,129,0,1,0,0,-0.80,2,2,1,1
positive,0,0,0,11,63,0,0,0,0,0.02,1,1,1,1
positive,0,0,3,22,136,0,0,0,0,-1.64,1,0,0,0
neutral,1,0,1,25,141,0,0,0,0,-2.16,0,0,1,1
negative,0,0,0,12,70,0,0,0,0,-0.93,1,1,0,0
negative,0,0,1,14,76,0,0,0,0,-0.49,1,1,0,0
neutral,0,0,2,25,137,0,0,0,0,-0.92,0,1,0,0
neutral,0,0,0,16,86,0,0,1,0,2.12,3,0,3,3
neutral,0,0,0,22,110,0,0,0,0,-0.30,1,0,0,0
neutral,0,3,3,35,199,0,0,0,0,-1.82,0,0,1,1
objective,0,0,4,22,135,0,0,0,0,-1.14,0,1,0,0
positive,0,0,2,17,94,0,0,0,0,-0.26,2,0,1,1
negative,0,1,4,23,132,1,0,0,0,-0.10,1,2,0,0
positive,0,0,0,9,66,0,0,0,0,-0.67,0,1,0,0
neutral,1,0,0,25,130,0,0,0,0,-0.31,2,1,0,0
neutral,2,2,2,17,107,0,0,0,0,1.08,1,0,0,0
negative,0,0,6,23,118,0,0,0,0,-1.62,1,2,0,0
positive,0,0,4,20,123,0,0,0,0,-0.74,2,2,1,1
objective,0,0,2,25,140,0,0,0,0,-1.13,1,1,0,0
objective,0,0,0,9,59,0,0,0,0,0.31,0,1,0,0
positive,2,0,0,20,137,0,0,0,0,-1.04,1,1,3,3
positive,11,0,0,18,110,0,1,1,0,-0.27,1,0,1,1
neutral,0,0,1,20,117,0,0,0,0,-0.63,2,1,0,0
neutral,0,0,1,27,138,0,0,0,0,-2.05,1,0,1,1
positive,0,0,2,20,112,0,0,0,0,-1.01,2,1,0,0
objective,0,1,0,24,119,0,0,0,0,-0.60,2,1,2,2
positive,0,0,2,27,137,1,0,0,0,-1.56,2,0,1,1
objective,0,0,1,18,94,0,0,0,0,-0.33,2,0,0,0
objective,0,0,3,14,63,0,0,0,0,0.41,2,0,1,1
objective,0,0,4,26,139,0,0,0,0,-0.69,3,2,1,1
neutral,0,0,1,12,69,0,0,0,0,-0.31,0,0,0,0
positive,0,1,2,17,114,0,0,0,0,0.70,1,0,0,0
positive,0,0,1,9,45,0,0,0,0,0.22,0,0,0,0
negative,0,0,1,23,137,0,0,0,0,-0.71,0,1,1,1
negative,0,0,1,19,117,0,0,0,0,-0.82,1,0,1,1
positive,0,0,0,27,139,0,0,0,0,-1.62,0,0,2,2
positive,0,0,1,23,130,0,0,0,0,0.53,2,0,3,3
neutral,0,0,3,27,138,0,0,0,0,-2.29,2,1,1,1
positive,0,0,1,14,93,0,0,0,0,-0.57,2,1,0,0
positive,0,0,0,12,76,0,0,0,0,-0.90,1,0,3,3
negative,0,0,2,16,83,0,0,0,0,-0.64,2,2,2,2
neutral,0,0,4,35,176,0,0,0,0,-1.81,4,2,1,1
neutral,0,0,1,28,121,0,0,0,0,-1.70,2,3,1,1
positive,1,1,0,24,126,0,0,0,0,0.34,3,3,3,3
negative,0,0,4,28,128,0,0,0,0,-0.57,3,4,0,0
neutral,1,0,0,20,109,0,0,0,0,-2.00,2,0,1,1
negative,0,0,3,14,82,0,0,0,0,-1.77,1,1,1,1
positive,3,0,3,22,131,0,0,1,0,-0.89,1,0,2,2
positive,0,0,3,19,98,0,1,0,0,0.27,1,0,1,1
positive,1,0,0,17,98,0,0,1,0,-0.54,2,0,2,2
neutral,0,3,0,24,112,0,0,0,0,-1.34,1,2,0,0
negative,0,2,3,16,91,0,0,0,0,-0.02,1,0,1,1
positive,1,0,6,36,228,0,0,0,0,0.03,0,0,2,2
neutral,0,0,0,11,71,0,0,0,0,-0.42,0,1,1,1
positive,4,0,0,9,56,0,1,0,0,-0.02,1,0,1,1
objective,0,0,0,23,137,0,0,0,0,-1.46,0,0,0,0
objective,0,0,1,10,69,0,0,0,0,-0.70,0,0,0,0
negative,0,0,0,23,135,0,0,0,0,0.91,1,0,0,0
positive,0,0,2,25,137,0,0,0,0,-1.45,2,0,1,1
positive,0,0,0,17,71,0,0,0,0,-0.88,2,1,1,1
neutral,0,1,1,23,112,0,0,0,0,-1.65,0,1,0,0
neutral,0,0,2,22,111,0,0,0,0,-0.40,0,0,0,0
neutral,0,0,0,7,48,0,0,0,0,-0.54,0,0,1,1
objective,0,0,2,27,139,0,0,0,0,-1.74,0,3,0,0
neutral,0,0,2,26,128,0,0,0,0,-2.44,0,2,0,0
neutral,0,0,1,19,124,0,0,0,0,-1.32,0,1,0,0
neutral,0,0,4,25,135,0,0,0,0,-2.49,0,0,0,0
negative,0,0,2,24,140,0,0,0,0,-1.20,2,0,1,1
negative,0,0,4,23,136,0,0,0,0,-0.45,0,2,0,0
negative,1,0,3,17,96,0,0,0,0,-0.72,3,0,2,2
positive,1,0,3,27,128,0,1,0,0,-2.05,3,2,2,2
positive,0,0,4,14,71,0,0,0,0,0.07,1,0,1,1
positive,0,0,1,19,94,0,0,0,0,-0.67,1,0,0,0
negative,0,0,1,24,117,0,0,0,0,-1.86,0,1,0,0
negative,0,0,1,21,120,0,0,0,0,-0.63,1,0,1,1
neutral,0,0,3,22,136,0,0,0,0,-1.62,0,0,0,0
objective,1,0,0,18,91,0,0,0,0,-0.22,2,2,1,1
objective,0,0,0,13,60,0,0,0,0,-0.34,0,0,0,0
positive,0,0,1,25,140,0,0,0,0,0.01,3,0,2,2
negative,0,0,4,23,136,0,0,0,0,-0.12,0,2,0,0
positive,0,0,1,24,131,0,0,0,0,-1.55,3,1,1,1
negative,0,0,1,22,130,0,0,0,0,-0.78,1,0,1,1
neutral,2,0,3,26,134,0,0,0,0,-3.04,1,2,0,0
neutral,0,0,3,14,77,0,0,0,0,-1.27,0,0,0,0
positive,1,0,0,12,72,0,0,0,0,0.24,1,0,3,3
objective,0,0,5,24,136,0,0,0,0,-2.30,2,2,0,0
positive,0,2,0,12,84,0,0,0,0,-0.91,1,0,0,0
negative,0,0,1,30,138,0,0,0,0,-0.39,3,1,0,0
negative,0,0,0,22,93,0,0,0,0,-0.33,2,2,1,1
positive,0,0,0,13,64,0,0,0,0,-1.00,0,1,1,1
positive,0,0,2,15,97,0,0,0,0,0.33,3,0,2,2
positive,0,1,6,31,183,0,0,1,0,0.40,0,1,0,0
positive,0,0,2,26,140,0,0,0,0,0.48,2,1,2,2
positive,0,0,2,19,130,0,0,0,0,-2.26,2,0,3,3
positive,1,0,1,20,119,0,0,0,0,-0.28,1,1,1,1
positive,0,0,2,11,70,0,0,0,0,0.61,1,0,0,0
objective,0,0,1,18,105,0,0,0,0,-0.25,0,1,0,0
objective,0,0,2,27,137,0,0,0,0,-0.37,1,2,0,0
negative,0,0,1,24,137,0,0,0,0,-0.15,2,1,4,4
negative,1,0,0,14,73,1,0,0,0,-0.83,1,0,0,0
neutral,0,1,1,13,65,0,0,0,0,-1.21,0,1,0,0
positive,2,0,1,25,140,0,0,0,0,-0.66,0,1,1,1
negative,0,0,1,23,139,0,0,0,0,-1.61,0,0,0,0
positive,0,0,0,13,80,0,1,0,0,-0.08,1,0,1,1
positive,0,0,5,22,135,0,0,0,0,-0.56,0,0,1,1
neutral,1,0,1,18,97,0,0,0,0,-1.07,2,0,1,1
negative,0,0,3,14,110,0,0,0,0,-0.67,1,0,1,1
objective,0,0,1,22,119,0,0,0,0,-1.55,0,0,0,0
objective,0,0,1,20,105,0,0,0,0,-0.51,1,2,1,1
neutral,0,0,2,13,82,0,0,0,0,-1.69,0,1,0,0
positive,0,0,1,20,102,0,0,0,0,0.36,0,0,0,0
positive,0,0,2,26,139,0,0,0,0,0.41,2,0,3,3
neutral,1,0,0,4,22,0,0,0,0,-0.33,0,0,0,0
negative,1,0,3,15,76,0,0,0,0,1.75,2,0,0,0
positive,0,0,2,31,138,0,0,0,0,-0.42,1,1,1,1
positive,0,1,0,15,70,0,0,0,0,-0.71,0,1,0,0
objective,0,0,2,26,135,0,0,0,0,-1.27,2,1,1,1
neutral,1,0,1,20,104,0,0,0,0,-0.99,1,1,0,0
positive,5,0,1,22,134,0,1,0,0,-1.43,1,2,2,2
negative,0,0,2,20,120,0,0,0,0,-1.75,1,1,1,1
objective,0,0,5,24,132,0,0,0,0,-1.38,1,1,0,0
negative,0,0,2,18,96,0,0,0,0,0.44,0,1,1,1
positive,5,0,0,15,87,0,1,0,0,0.30,2,0,1,1
positive,0,0,0,31,139,0,0,1,0,-0.39,2,2,1,1
neutral,0,0,1,17,93,0,0,0,0,-1.01,0,0,1,1
neutral,0,0,2,10,46,0,0,0,0,-0.33,3,0,2,2
negative,0,3,0,16,91,0,0,0,0,-1.84,0,2,2,2
positive,0,0,3,26,138,0,0,0,0,-2.16,2,1,1,1
positive,0,0,6,24,136,0,0,0,0,-1.67,0,1,1,1
positive,0,0,2,21,139,0,0,0,0,0.77,0,0,1,1
neutral,0,1,4,28,140,0,0,0,0,-2.07,1,5,2,2
negative,0,0,3,29,136,0,0,0,0,-0.74,2,1,0,0
objective,0,0,1,23,132,0,0,0,0,-0.44,1,3,0,0
positive,1,0,2,16,84,0,0,0,0,-1.20,0,3,0,0
positive,0,0,0,18,90,0,0,0,0,0.73,3,1,3,3
neutral,0,1,2,27,133,0,0,0,0,-0.84,3,1,2,2
objective,0,0,0,2,23,0,0,0,0,0.00,0,0,0,0
positive,4,0,0,20,110,0,0,0,0,1.21,4,0,3,3
positive,0,0,1,27,139,0,0,0,0,-1.66,0,0,1,1
positive,0,0,0,21,113,0,0,0,0,-1.42,0,0,1,1
objective,0,1,1,21,115,0,0,0,0,-0.07,1,0,1,1
positive,1,0,0,9,44,0,0,0,0,-0.90,2,0,1,1
objective,0,0,1,18,78,0,0,0,0,1.30,4,0,4,4
negative,0,0,2,26,140,0,0,0,0,0.10,4,0,0,0
negative,0,0,2,26,126,0,0,0,0,-0.41,2,2,1,1
neutral,1,0,0,22,106,0,0,0,0,-0.99,1,0,2,2
positive,0,0,2,29,139,0,0,0,0,-1.02,2,1,3,3
negative,1,0,5,21,108,0,0,0,0,-0.68,1,1,0,0
neutral,0,0,2,21,109,0,0,0,0,-1.15,0,2,0,0
neutral,0,0,2,22,132,0,0,0,0,-1.07,1,0,1,1
positive,2,0,2,23,139,0,0,0,0,-1.20,1,1,1,1
neutral,0,0,1,22,116,0,0,0,0,-1.00,0,2,0,0
objective,0,0,1,20,115,0,0,0,0,-1.26,0,0,0,0
positive,0,0,0,14,78,0,0,0,0,0.13,2,0,1,1
positive,2,0,1,21,140,1,0,0,0,0.02,2,1,2,2
negative,0,0,2,20,108,0,0,0,0,0.22,2,1,1,1
positive,0,0,5,23,130,0,0,0,0,-2.10,2,1,1,1
objective,0,0,2,27,140,0,0,0,0,-1.51,0,0,0,0
neutral,0,0,2,23,119,0,0,0,0,-1.72,4,0,3,3
neutral,0,0,2,16,96,0,0,0,0,-0.64,1,0,0,0
positive,0,0,3,24,132,0,0,0,0,-0.07,3,1,2,2
positive,2,0,0,15,70,0,0,0,0,-0.36,1,2,0,0
positive,0,0,4,25,139,0,0,0,0,-0.62,1,1,0,0
positive,0,0,2,20,99,0,0,0,0,-2.96,1,1,1,1
positive,0,1,1,17,107,0,0,0,0,-0.66,0,0,1,1
positive,0,0,1,24,130,0,0,0,0,-1.05,3,1,1,1
objective,0,0,0,8,38,0,0,0,0,-0.67,0,0,0,0
objective,0,0,0,20,100,0,0,0,0,0.10,1,0,0,0
positive,0,0,0,11,62,0,0,0,0,-0.02,0,0,0,0
negative,2,0,2,18,141,0,1,0,0,0.07,1,0,1,1
neutral,0,0,4,22,138,0,0,0,0,-0.58,1,0,1,1
neutral,21,0,0,12,112,0,0,0,0,0.00,1,1,0,0
neutral,0,0,0,26,132,0,0,0,0,-3.63,0,0,0,0
neutral,0,1,2,23,144,0,0,0,0,-1.82,2,2,1,1
negative,0,0,1,24,140,0,0,0,0,-1.32,2,1,0,0
positive,0,1,2,21,111,0,0,0,0,-1.97,2,2,0,0
neutral,2,0,3,23,137,0,0,0,0,-0.90,3,3,1,1
negative,0,1,1,26,140,0,0,0,0,-1.08,0,0,0,0
positive,0,0,4,12,59,0,0,0,0,0.10,0,0,0,0
positive,0,0,0,18,114,0,0,0,0,-1.06,0,2,3,3
objective,0,0,0,16,89,0,0,0,0,-0.90,1,1,0,0
negative,1,0,5,13,64,1,0,0,0,-0.62,1,1,1,1
objective,0,0,2,20,90,0,0,0,0,-0.47,1,0,0,0
neutral,0,0,4,21,136,0,0,0,0,-1.00,0,0,0,0
negative,0,0,0,6,44,0,0,0,0,0.00,0,0,1,1
positive,0,0,0,18,81,0,0,0,0,0.02,1,0,1,1
positive,3,0,4,27,140,0,1,0,0,0.75,4,0,4,4
positive,0,0,2,24,128,0,0,0,0,-0.76,0,0,0,0
objective,0,0,1,21,107,0,0,0,0,-0.63,2,2,0,0
neutral,2,0,0,24,136,0,0,0,0,-1.18,1,1,1,1
positive,4,0,3,22,102,0,0,0,0,-0.92,2,2,1,1
objective,0,0,4,23,135,0,0,0,0,-1.65,1,4,0,0
positive,0,0,4,27,138,0,0,0,0,-1.04,1,0,1,1
positive,0,0,2,21,113,0,0,0,0,-1.14,1,0,1,1
neutral,0,0,3,21,133,0,0,0,0,-0.71,1,1,0,0
negative,0,0,0,11,59,0,0,0,0,0.49,0,0,0,0
objective,1,1,2,21,133,0,0,0,0,-0.37,0,0,0,0
neutral,0,0,3,46,247,0,0,0,0,-1.12,0,0,2,2
negative,0,0,1,18,103,0,0,0,0,-1.51,0,0,0,0
neutral,1,2,0,19,111,0,0,0,0,-1.42,0,1,0,0
positive,2,0,1,17,82,0,0,0,0,-1.24,0,0,1,1
positive,0,1,3,28,140,1,1,0,0,0.07,3,0,2,2
neutral,2,0,3,9,65,0,0,0,0,-0.33,0,1,0,0
negative,0,0,1,16,79,0,0,0,0,-1.15,0,2,1,1
negative,0,0,1,27,140,0,0,0,0,-1.88,1,2,0,0
neutral,0,0,1,18,89,0,0,0,0,-1.09,3,2,0,0
objective,1,1,3,24,155,0,0,1,0,-0.90,1,2,1,1
positive,1,0,1,24,136,0,0,0,0,-1.21,0,2,0,0
positive,0,0,2,9,50,0,0,0,0,-0.64,1,1,0,0
positive,0,0,2,20,136,0,0,0,0,-0.91,3,1,1,1
positive,1,0,0,8,49,0,1,0,0,0.33,1,0,2,2
neutral,0,1,1,17,103,0,0,0,0,-1.22,1,0,0,0
positive,0,0,4,21,139,0,0,0,0,0.63,2,1,0,0
negative,0,0,1,22,135,0,0,0,0,-1.18,1,2,1,1
neutral,3,0,0,16,99,0,0,0,0,-1.38,0,0,1,1
neutral,0,0,0,27,138,0,0,0,0,-1.26,2,1,0,0
negative,0,0,6,22,140,5,0,0,0,-0.33,0,0,0,0
neutral,1,1,0,26,132,0,0,0,0,-0.33,1,0,0,0
neutral,0,0,4,29,160,0,0,0,0,-1.54,0,3,2,2
neutral,0,0,0,23,130,0,0,0,0,-0.62,2,2,0,0
positive,0,1,1,27,129,0,0,0,0,-1.15,0,1,2,2
neutral,0,0,3,21,138,0,0,0,0,0.06,1,1,1,1
positive,0,0,4,20,122,0,0,0,0,-0.60,3,0,3,3
neutral,0,0,1,20,112,0,0,0,0,0.72,3,0,4,4
positive,0,1,5,21,103,0,0,0,0,-1.10,2,1,3,3
negative,0,0,5,35,209,0,0,0,0,-2.55,0,1,1,1
negative,0,0,0,11,50,0,0,0,0,-0.17,1,0,2,2
objective,0,0,0,8,56,0,0,0,0,-0.34,0,0,0,0
positive,1,2,0,25,122,0,0,0,0,-2.38,1,1,2,2
positive,0,0,5,26,136,0,0,0,0,-0.70,1,0,0,0
positive,0,0,0,9,47,0,0,0,0,-1.65,1,0,0,0
positive,2,0,0,20,132,0,0,0,0,-2.17,5,0,2,2
negative,0,0,3,31,203,0,0,1,0,0.85,3,0,1,1
objective,0,0,5,22,137,0,0,0,0,-0.25,1,1,0,0
negative,1,0,3,26,123,0,0,0,0,-0.79,2,1,0,0
neutral,0,0,5,25,138,0,0,0,0,-1.81,1,1,2,2
objective,0,0,2,22,118,0,0,0,0,-0.30,3,2,0,0
positive,0,0,0,16,95,0,0,0,0,-0.70,0,1,0,0
positive,0,0,2,22,121,0,0,0,0,-1.33,2,1,1,1
positive,0,0,2,18,121,0,0,0,0,-0.17,1,1,1,1
positive,3,0,0,20,135,0,0,0,0,-1.43,1,0,1,1
positive,0,0,0,28,140,0,0,0,0,-1.37,3,0,3,3
objective,1,1,1,19,103,0,0,0,0,-0.38,1,0,0,0
positive,3,0,1,14,86,0,0,0,0,0.67,1,0,1,1
neutral,1,0,1,23,131,0,0,0,0,-0.58,2,1,0,0
negative,0,0,1,24,133,0,0,0,0,-0.34,1,1,0,0
neutral,0,0,2,26,139,0,0,0,0,0.16,3,2,0,0
neutral,0,1,1,21,120,0,0,0,0,-2.74,1,1,0,0
positive,0,3,2,12,73,0,0,0,0,0.11,1,0,1,1
negative,0,0,1,23,136,0,0,0,0,-0.42,0,1,0,0
neutral,0,1,1,21,124,0,0,0,0,1.29,1,2,1,1
positive,0,0,0,18,111,0,0,0,0,1.24,3,0,2,2
positive,8,0,0,11,53,0,0,0,0,-0.33,1,0,0,0
positive,1,1,0,24,133,0,0,0,0,-0.36,0,2,0,0
positive,0,1,18,24,163,0,0,0,0,-1.67,4,2,1,1
positive,0,0,0,26,118,0,0,0,0,-1.23,1,1,1,1
negative,0,0,7,22,125,0,0,0,0,-0.39,1,1,0,0
positive,1,0,1,18,96,0,0,0,0,0.90,1,0,3,3
neutral,0,1,1,19,94,0,0,0,0,0.53,1,1,1,1
positive,1,0,1,19,123,0,0,0,0,0.18,0,0,0,0
positive,0,0,1,22,114,0,0,0,0,-0.25,2,1,1,1
neutral,0,0,0,6,34,0,0,0,0,0.00,0,1,0,0
positive,0,0,6,21,132,0,0,0,0,-0.40,1,1,1,1
positive,2,1,2,28,135,0,0,0,0,-0.67,2,1,1,1
negative,1,0,1,18,124,0,0,0,0,-0.31,2,3,1,1
positive,1,0,2,20,130,0,0,0,0,0.16,1,1,1,1
negative,1,0,2,22,123,1,0,0,0,-0.49,2,2,0,0
neutral,0,0,0,19,107,0,0,0,0,-0.34,2,2,1,1
positive,0,0,4,21,130,0,0,0,0,-1.97,0,0,0,0
positive,1,0,1,17,89,0,0,0,0,-1.69,0,0,1,1
positive,0,0,0,27,130,0,0,0,0,-1.66,4,2,2,2
negative,0,0,5,19,129,0,0,0,0,-2.51,0,0,0,0
negative,1,1,1,24,138,0,0,0,0,-1.32,0,1,1,1
neutral,0,1,0,7,45,0,0,0,0,-0.33,1,0,0,0
positive,0,0,1,24,130,0,0,0,0,0.01,3,0,2,2
objective,0,0,1,16,91,0,0,0,0,-0.90,0,0,1,1
positive,3,0,1,20,123,0,0,0,0,-1.34,1,0,1,1
neutral,0,0,3,20,114,0,0,0,0,-2.07,0,1,0,0
positive,1,0,0,19,131,0,0,0,0,-1.33,3,0,2,2
neutral,0,0,4,25,132,0,0,0,0,-0.82,0,0,0,0
positive,1,0,1,20,139,0,1,0,0,0.24,1,1,1,1
objective,0,0,1,22,140,0,0,0,0,-0.96,0,0,1,1
positive,1,0,0,21,122,0,0,0,0,-1.01,2,2,1,1
positive,2,0,3,29,137,0,0,0,0,0.95,3,3,1,1
neutral,0,0,2,26,140,0,0,0,0,-0.44,2,1,0,0
positive,0,0,0,17,97,0,0,0,0,0.39,1,0,1,1
positive,2,0,0,14,96,0,0,0,0,-1.00,3,0,2,2
neutral,0,0,2,22,134,0,0,0,0,-0.05,1,0,0,0
negative,0,1,1,24,127,0,0,0,0,-0.61,3,2,1,1
neutral,0,0,4,25,132,0,0,0,0,-0.76,3,1,1,1
objective,0,0,2,26,134,0,0,0,0,-2.72,1,0,2,2
negative,0,0,1,22,120,0,0,0,0,-0.54,1,1,1,1
positive,0,0,5,25,135,0,0,0,0,-1.09,2,2,1,1
neutral,21,0,0,9,78,0,0,1,0,-0.67,2,2,0,0
positive,0,0,8,25,140,0,0,0,0,-0.32,1,0,1,1
negative,0,0,2,17,88,0,0,0,0,-0.71,1,0,0,0
objective,0,0,4,25,141,0,0,0,0,-1.83,0,2,0,0
positive,0,1,5,25,136,0,0,0,0,-1.80,1,1,2,2
positive,1,0,0,12,63,0,0,0,0,-0.95,1,1,1,1
negative,0,1,2,26,118,0,0,0,0,0.39,0,1,0,0
objective,0,0,2,15,96,0,0,0,0,-1.20,0,1,0,0
negative,0,0,1,26,133,0,0,0,0,-1.57,1,1,0,0
positive,0,0,2,27,140,0,0,0,0,-0.96,2,0,1,1
positive,1,0,1,14,78,0,0,0,0,-1.18,0,2,1,1
positive,1,0,1,26,133,0,0,0,0,-1.37,2,2,0,0
objective,0,0,1,25,135,0,0,0,0,-1.84,2,1,1,1
positive,1,0,0,15,101,0,0,0,0,-1.53,0,1,0,0
positive,0,0,4,23,132,0,1,0,0,-0.23,2,1,1,1
positive,1,0,3,20,124,0,0,0,0,-1.92,2,1,2,2
neutral,0,0,0,20,140,0,0,0,0,-0.77,2,0,2,2
objective,2,1,0,25,136,0,0,0,0,-2.58,2,2,0,0
negative,0,0,0,9,49,0,0,0,0,-0.00,0,0,0,0
negative,0,0,4,22,136,0,0,0,0,-0.33,1,1,0,0
positive,4,0,0,18,102,0,0,0,0,-0.12,0,1,2,2
positive,0,0,0,12,56,0,0,0,0,-0.69,1,1,1,1
positive,0,0,5,27,139,0,0,0,0,-0.81,3,2,2,2
positive,1,0,1,15,108,0,0,0,0,0.11,0,0,0,0
neutral,0,0,4,27,152,0,0,0,0,-0.65,2,1,0,0
positive,3,0,0,25,136,0,0,0,0,-1.23,1,2,0,0
neutral,0,0,2,13,69,0,0,0,0,-0.21,3,0,2,2
objective,2,0,1,25,120,0,0,0,0,-1.55,3,0,2,2
positive,0,0,0,11,57,0,0,0,0,-0.25,0,0,0,0
negative,0,0,4,20,130,0,0,0,0,-1.24,1,0,0,0
positive,2,0,0,19,96,0,0,0,0,-0.44,1,0,2,2
neutral,0,0,0,16,88,0,0,0,0,-2.22,0,1,1,1
negative,3,0,2,24,110,0,0,0,0,-0.34,1,2,0,0
objective,0,0,3,23,136,0,0,0,0,-1.89,0,0,0,0
negative,0,0,1,22,119,0,0,0,0,0.51,2,2,0,0
neutral,1,0,3,7,39,0,0,0,0,-0.90,2,0,3,3
positive,2,1,0,18,125,0,0,0,0,-1.33,0,0,0,0
negative,0,0,4,20,106,0,0,0,0,-1.51,1,2,1,1
neutral,0,0,3,24,131,0,0,0,0,-0.01,1,0,0,0
positive,0,0,3,2,30,0,0,1,0,0.00,0,0,0,0
neutral,0,0,1,24,114,0,0,0,0,-0.99,0,3,0,0
neutral,3,0,0,18,112,0,0,0,0,0.52,3,0,2,2
neutral,1,0,0,17,113,0,0,0,0,-0.68,0,0,0,0
negative,0,0,3,22,104,0,0,0,0,-2.09,1,2,1,1
negative,0,0,9,25,140,1,0,0,0,-1.38,1,1,1,1
neutral,0,0,3,18,97,0,0,0,0,-0.61,0,1,0,0
positive,0,0,0,19,96,0,0,0,0,-1.70,1,0,2,2
neutral,0,0,4,21,136,0,0,0,0,-1.92,1,2,0,0
positive,0,0,2,20,92,0,0,1,0,-0.96,1,1,1,1
neutral,0,0,1,27,140,0,0,0,0,-1.66,1,1,1,1
positive,0,0,7,21,129,0,0,0,0,-0.80,1,1,2,2
positive,0,0,3,23,115,0,0,0,0,-1.66,2,1,2,2
objective,0,0,0,21,126,0,0,0,0,-0.43,0,0,0,0
positive,0,0,1,21,140,0,0,0,0,0.16,1,1,1,1
positive,0,0,2,16,90,0,0,0,0,-0.15,3,0,2,2
positive,0,0,0,13,68,0,0,0,0,-0.63,1,0,1,1
neutral,0,0,5,24,141,0,0,0,0,0.24,2,1,1,1
positive,0,0,0,31,138,0,0,0,0,-0.71,4,2,2,2
